Fetched_At,City,Crop_Focus,Temp,Humidity,Pressure,Visibility,Wind_Speed,Clouds,Weather_Desc,Lat,Lon,Forecast_Rain_Events,Forecast_Min_Temp,Forecast_Max_Temp,Forecast_Min_Visibility,Forecast_Note,Risk_Score,Alert_Band,Smart_Alerts,Advisory,Predicted_Risk_24h,Yield_Protection_Index,Prediction_Confidence,Prediction_Note
2026-03-26T11:27:08.490298+00:00,Ludhiana,Wheat,33.44,18,1008,10000,4.96,100,overcast clouds,30.901,75.8573,0,17.46,36.83,10000,Ludhiana shows a high heat build-up in the next 24 hours.,55,Moderate,Heat stress risk | Forecast heat spike,Protect grain filling by shifting irrigation to evening hours. Ludhiana shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:27:08.490298+00:00,Amritsar,Wheat,26.97,54,1009,6000,4.12,40,scattered clouds,31.634,74.8723,0,16.99,36.53,10000,Amritsar shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Protect grain filling by shifting irrigation to evening hours. Amritsar shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:27:08.490298+00:00,Bathinda,Cotton,34.68,17,1008,10000,2.99,100,overcast clouds,30.211,74.9455,1,18.21,37.24,10000,Bathinda shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Monitor leaf stress and postpone spraying during strong afternoon winds. Bathinda shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:27:08.490298+00:00,Patiala,Paddy,33.97,16,1008,10000,5.46,100,overcast clouds,30.33,76.4,0,18.08,37.08,10000,Patiala shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Watch water availability and avoid fertilizer application before rainfall. Patiala shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:27:08.490298+00:00,Jalandhar,Maize,32.99,20,1009,10000,5.14,97,overcast clouds,31.33,75.57,0,18.31,36.5,10000,Jalandhar shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Check tasseling-stage moisture demand and avoid moisture shock. Jalandhar shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:27:08.490298+00:00,Mansa,Cotton,33.79,18,1008,10000,3.44,100,overcast clouds,29.99,75.4,0,18.98,37.23,7870,Mansa shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Monitor leaf stress and postpone spraying during strong afternoon winds. Mansa shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:27:08.490298+00:00,Barnala,Wheat,34.0,17,1008,10000,3.79,100,overcast clouds,30.37,75.55,0,18.28,37.85,10000,Barnala shows a high heat build-up in the next 24 hours.,55,Moderate,Heat stress risk | Forecast heat spike,Protect grain filling by shifting irrigation to evening hours. Barnala shows a high heat build-up in the next 24 hours.,,,,
2026-03-26T11:35:56.087000+00:00,Ludhiana,Wheat,32.32,20,1009,10000,4.74,100,overcast clouds,30.901,75.8573,0,17.46,36.83,10000,Ludhiana shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Protect grain filling by shifting irrigation to evening hours. Ludhiana shows a high heat build-up in the next 24 hours.,31.8,76.2,Low,Short-range trend looks relatively stable for field operations.
2026-03-26T11:35:56.087000+00:00,Amritsar,Wheat,26.97,54,1009,6000,4.12,40,scattered clouds,31.634,74.8723,0,16.99,36.53,10000,Amritsar shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Protect grain filling by shifting irrigation to evening hours. Amritsar shows a high heat build-up in the next 24 hours.,39.3,68.7,Low,Short-range trend looks relatively stable for field operations.
2026-03-26T11:35:56.087000+00:00,Bathinda,Cotton,34.68,17,1008,10000,2.99,100,overcast clouds,30.211,74.9455,1,18.21,37.24,10000,Bathinda shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Monitor leaf stress and postpone spraying during strong afternoon winds. Bathinda shows a high heat build-up in the next 24 hours.,30.8,77.2,Low,Short-range trend looks relatively stable for field operations.
2026-03-26T11:35:56.087000+00:00,Patiala,Paddy,33.97,16,1008,10000,5.46,100,overcast clouds,30.33,76.4,0,18.08,37.08,10000,Patiala shows a high heat build-up in the next 24 hours.,25,Low,Forecast heat spike,Watch water availability and avoid fertilizer application before rainfall. Patiala shows a high heat build-up in the next 24 hours.,29.7,78.3,Low,Short-range trend looks relatively stable for field operations.
